articulo,texto,tutela
transitorio 2,articulo transitorio 2. no podran ser candidatos en dicha eleccion los delegatarios de,no
transitorio 3,"articulo transitorio 3. mientras se instala, el 1° de diciembre de 1991 el nuevo",no
transitorio 4,articulo transitorio 4. el congreso elegido el 27 de octubre de 1991 sesionara,no
transitorio 5,articulo transitorio 5. revistese al presidente de la republica de precisas facultades,no
transitorio 6,articulo transitorio 6. crease una comision especial de treinta y seis miembros,no
transitorio 7,articulo transitorio 7. el presidente de la republica designara un representante del,no
transitorio 8,articulo transitorio 8. los decretos expedidos en ejercicio de las facultades de estado,no
transitorio 9,articulo transitorio 9. las facultades extraordinarias para cuyo ejercicio no se hubiere,no
transitorio 10,articulo transitorio 10. los decretos que expida el gobierno en ejercicio de las,no
transitorio 11,articulo transitorio 11. las facultades extraordinarias a que se refiere el articulo,no
transitorio 12,articulo transitorio 12. con el fin de facilitar la reincorporacion a la vida civil de los,no
transitorio 13,articulo transitorio 13. dentro de los tres anos siguientes a la entrada en vigencia de,no
transitorio 14,articulo transitorio 14. dentro de la legislatura que se inicia el primero de diciembre de,no
transitorio 15,articulo transitorio 15. la primera eleccion de vicepresidente de la republica se,no
transitorio 16,"articulo transitorio 16. salvo los casos que senale la constitucion, la primera eleccion",no
transitorio 17,articulo transitorio 17. la primera eleccion popular de gobernadores en los,no
transitorio 18,articulo transitorio 18. mientras la ley establece el regimen de inhabilidades para los                                        capitulo 2,no
transitorio 20,"articulo transitorio 20. el gobierno nacional, durante el termino de dieciocho meses",no
transitorio 21,articulo transitorio 21. las normas legales que desarrollen los principios consignados                                       capitulo 3,no
transitorio 22,"articulo transitorio 22. mientras la ley no fije otro numero, la primera corte",no
transitorio 23,articulo transitorio 23. revistese al presidente de la republica de precisas facultades,no
transitorio 24,articulo transitorio 24. las acciones publicas de inconstitucionalidad instauradas antes,no
transitorio 25,articulo transitorio 25. el presidente de la republica designara por primera y unica,no
transitorio 26,articulo transitorio 26. los procesos que se adelanten actualmente en el tribunal,no
transitorio 27,articulo transitorio 27. la fiscalia general de la nacion entrara a funcionar cuando se,no
transitorio 28,articulo transitorio 28. mientras se expide la ley que atribuya a las autoridades,no
transitorio 29,articulo transitorio 29. para la aplicacion en cualquier tiempo de las normas que,no
transitorio 30,articulo transitorio 30. autorizase al gobierno nacional para conceder indultos o                                        capitulo 4,no
transitorio 31,articulo transitorio 31. transcurrido un mes desde la instalacion del congreso elegido,no
transitorio 32,articulo transitorio 32. mientras se integra el consejo nacional electoral en los,no
transitorio 33,articulo transitorio 33. el periodo del actual registrador nacional del estado civil,no
transitorio 34,"articulo transitorio 34. el presidente de la republica, en un plazo no mayor de ocho",no
transitorio 35,articulo transitorio 35. el consejo nacional electoral reconocera automaticamente                                       capitulo 5,no
transitorio 36,articulo transitorio 36. los actuales contralor general de la republica y procurador,no
transitorio 37,articulo transitorio 37. el primer defensor del pueblo sera elegido por el procurador                                       capitulo 6,no
transitorio 38,"articulo transitorio 38. el gobierno organizara e integrara, en el termino de seis",no
transitorio 39,articulo transitorio 39. revistese al presidente de la republica de precisas facultades,no
transitorio 40,articulo transitorio 40. son validas las creaciones de municipios hechas por las,no
transitorio 41,articulo transitorio 41. si durante los dos anos siguientes a la fecha de promulgacion,no
transitorio 42,articulo transitorio 42. mientras el congreso expide las leyes de que trata el articulo                                       capitulo 7,no
transitorio 43,articulo transitorio 43. para financiar el funcionamiento de las nuevas instituciones y,no
transitorio 44,articulo transitorio 44. el situado fiscal para el ano de 1992 no sera inferior al de 1991,no
transitorio 45,"articulo transitorio 45. los distritos y municipios percibiran como minimo, durante la",no
transitorio 46,"articulo transitorio 46. el gobierno nacional pondra en funcionamiento, por un periodo",no
transitorio 47,"articulo transitorio 47. la ley organizara para las zonas afectadas por aguda violencia,",no
transitorio 48,articulo transitorio 48. dentro de los tres meses siguientes a la instalacion del,no
transitorio 49,articulo transitorio 49. en la primera legislatura posterior a la entrada en vigencia de,no
transitorio 50,articulo transitorio 50. mientras se dictan las normas generales a las cuales debe,no
transitorio 51,"articulo transitorio 51. mientras se dicten las leyes correspondientes, la nueva junta",no
transitorio 52,"articulo transitorio 52. a partir de la entrada en vigencia de esta constitucion, la",no
transitorio 53,articulo transitorio 53. el gobierno tomara las decisiones administrativas y hara los                                       capitulo 8,no
transitorio 54,"articulo transitorio 54. adoptanse, para todos los efectos constitucionales y legales,",no
transitorio 55,articulo transitorio 55. dentro de los dos anos siguientes a la entrada en vigencia de la,no
transitorio 56,"articulo transitorio 56. mientras se expide la ley a que se refiere el articulo 329, el",no
transitorio 57,articulo transitorio 57. el gobierno formara una comision integrada por representantes,no
transitorio 58,articulo transitorio 58. autorizase al gobierno nacional para ratificar los tratados o,no
transitorio 59,articulo transitorio 59. la presente constitucion y los demas actos promulgados por,no
